NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
16252052500,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,200912,201212,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16252052501,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,200807,202106,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075801,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,314142,SCD,nateglinide 60 MG Oral Tablet,direct,314142,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075809,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,314142,SCD,nateglinide 60 MG Oral Tablet,direct,314142,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075850,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,314142,SCD,nateglinide 60 MG Oral Tablet,direct,314142,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075901,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,311919,SCD,nateglinide 120 MG Oral Tablet,direct,311919,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075909,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,311919,SCD,nateglinide 120 MG Oral Tablet,direct,311919,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
16571075950,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,311919,SCD,nateglinide 120 MG Oral Tablet,direct,311919,202203,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
17088002701,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,314142,SCD,nateglinide 60 MG Oral Tablet,direct,314142,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
17088002801,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,311919,SCD,nateglinide 120 MG Oral Tablet,direct,311919,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
21695077930,other_diabetes_ndc,Other diabetes medication,colesevelam,141626,866907,SBD,colesevelam hydrochloride 3750 MG Powder for Oral Suspension [Welchol],direct,866907,201102,201905,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
21695078178,other_diabetes_ndc,Other diabetes medication,colesevelam,141626,866912,SBD,colesevelam hydrochloride 625 MG Oral Tablet [Welchol],direct,866912,201102,201905,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014701,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132,SCD,acarbose 25 MG Oral Tablet,direct,200132,201205,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014705,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132,SCD,acarbose 25 MG Oral Tablet,direct,200132,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014710,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132,SCD,acarbose 25 MG Oral Tablet,direct,200132,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014801,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149,SCD,acarbose 50 MG Oral Tablet,direct,199149,201205,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014805,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149,SCD,acarbose 50 MG Oral Tablet,direct,199149,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014810,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149,SCD,acarbose 50 MG Oral Tablet,direct,199149,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014901,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,201205,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014905,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
23155014910,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150,SCD,acarbose 100 MG Oral Tablet,direct,199150,201308,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
26053010301,other_diabetes_ndc,Other diabetes medication,colesevelam,141626,866910;866912,SBD;SCD,colesevelam hydrochloride 625 MG Oral Tablet;colesevelam hydrochloride 625 MG Oral Tablet [Welchol],direct;indirect,284421;309494;866912,200802;200911,200901;200910;201206,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
26053024301,other_diabetes_ndc,Other diabetes medication,nateglinide,274332,314142,SCD,nateglinide 60 MG Oral Tablet,direct,314142,200803,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
27808019001,other_diabetes_ndc,Other diabetes medication,colesevelam,141626,866910,SCD,colesevelam hydrochloride 625 MG Oral Tablet,direct,866910,202012,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698001701,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105446,SBD,bromocriptine 2.5 MG Oral Tablet [Parlodel],direct,105446,201211,201909,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698001730,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105446,SBD,bromocriptine 2.5 MG Oral Tablet [Parlodel],direct,105446,201211,201909,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698010230,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105050,SBD,bromocriptine 5 MG Oral Capsule [Parlodel],direct,105050,201211,202001,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698020101,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105050,SBD,bromocriptine 5 MG Oral Capsule [Parlodel],direct,105050,201407,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698020130,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105050,SBD,bromocriptine 5 MG Oral Capsule [Parlodel],direct,105050,201407,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698020201,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105446,SBD,bromocriptine 2.5 MG Oral Tablet [Parlodel],direct,105446,201407,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
30698020230,other_diabetes_ndc,Other diabetes medication,bromocriptine,1760,105446,SBD,bromocriptine 2.5 MG Oral Tablet [Parlodel],direct,105446,201407,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342019757,other_diabetes_ndc,Other diabetes medication,colesevelam,141626,866910,SCD,colesevelam hydrochloride 625 MG Oral Tablet,direct,866910,202506,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342024811,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200257,SCD,repaglinide 0.5 MG Oral Tablet,direct,200257,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
33342024844,other_diabetes_ndc,Other diabetes medication,repaglinide,73044,200257,SCD,repaglinide 0.5 MG Oral Tablet,direct,200257,202305,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
