NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00006536403,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992821,SBD,ertugliflozin 15 MG Oral Tablet [Steglatro],direct,1992821,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536406,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992821,SBD,ertugliflozin 15 MG Oral Tablet [Steglatro],direct,1992821,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536407,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992821,SBD,ertugliflozin 15 MG Oral Tablet [Steglatro],direct,1992821,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536408,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992821,SBD,ertugliflozin 15 MG Oral Tablet [Steglatro],direct,1992821,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536409,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992821,SBD,ertugliflozin 15 MG Oral Tablet [Steglatro],direct,1992821,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536703,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992837,SBD,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992837,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536706,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992837,SBD,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992837,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536707,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992837,SBD,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992837,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536708,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992837,SBD,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992837,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536709,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992837,SBD,ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992837,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536803,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992832,SBD,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992832,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536806,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992832,SBD,ertugliflozin 15 MG / sitagliptin 100 MG Oral Tablet [Steglujan],direct,1992832,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
