NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00002318261,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,2395785,SBD,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],direct,2395785,202103,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002318280,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,2395785,SBD,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],direct,2395785,202010,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00024576101,glp1_ndc,GLP-1 receptor agonist,lixisenatide,1440051,1859000,SBD,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],direct,1859000,202001,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00024576102,glp1_ndc,GLP-1 receptor agonist,lixisenatide,1440051,1859000,SBD,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],direct,1859000,202005,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00024576105,glp1_ndc,GLP-1 receptor agonist,lixisenatide,1440051,1859000,SBD,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],direct,1859000,201612,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00024576302,glp1_ndc,GLP-1 receptor agonist,lixisenatide,1440051,1859000,SBD,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],direct,1859000,201702,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00143914401,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897122,SCD,3 ML liraglutide 6 MG/ML Pen Injector,direct,897122,202502,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00143914402,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897122,SCD,3 ML liraglutide 6 MG/ML Pen Injector,direct,897122,202501,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00143914403,glp1_ndc,GLP-1 receptor agonist,liraglutide,475968,897122,SCD,3 ML liraglutide 6 MG/ML Pen Injector,direct,897122,202501,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169170430,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2736946,SBD,semaglutide 4 MG Oral Tablet [Ozempic],direct,2736946,202604,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
