concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
hypoglycemia,Hypoglycemia,ICD10CM,E0864,E0864,prefix,Diabetes due to underlying condition with hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E0964,E0964,prefix,Drug or chemical induced diabetes with hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E1064,E1064,prefix,Type 1 diabetes with hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E1164,E1164,prefix,Type 2 diabetes with hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E1364,E1364,prefix,Other specified diabetes with hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E160,E160,exact,Drug-induced hypoglycemia without coma,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E161,E161,exact,Other hypoglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypoglycemia,Hypoglycemia,ICD10CM,E162,E162,exact,"Hypoglycemia, unspecified",Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
