concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
hyperglycemia,Hyperglycemia,ICD10CM,E0865,E0865,exact,Diabetes due to underlying condition with hyperglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hyperglycemia,Hyperglycemia,ICD10CM,E0965,E0965,exact,Drug or chemical induced diabetes with hyperglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hyperglycemia,Hyperglycemia,ICD10CM,E1065,E1065,exact,Type 1 diabetes with hyperglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hyperglycemia,Hyperglycemia,ICD10CM,E1165,E1165,exact,Type 2 diabetes with hyperglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hyperglycemia,Hyperglycemia,ICD10CM,E1365,E1365,exact,Other specified diabetes with hyperglycemia,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hyperglycemia,Hyperglycemia,ICD10CM,R739,R739,exact,"Hyperglycemia, unspecified",Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
