concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
heart_failure,Heart failure,ICD10CM,I110,I110,exact,Hypertensive heart disease with heart failure,Baseline comorbidity or monthly outcome; pair with IP/OP claim rule.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
heart_failure,Heart failure,ICD10CM,I130,I130,exact,Hypertensive heart and CKD with heart failure and stage 1-4/unspecified CKD,Baseline comorbidity or monthly outcome; pair with IP/OP claim rule.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
heart_failure,Heart failure,ICD10CM,I132,I132,exact,Hypertensive heart and CKD with heart failure and stage 5/end stage CKD,Baseline comorbidity or monthly outcome; pair with IP/OP claim rule.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
heart_failure,Heart failure,ICD10CM,I50,I50,prefix,Heart failure,Baseline comorbidity or monthly outcome; pair with IP/OP claim rule.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
