concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E08,E08,prefix,Diabetes mellitus due to underlying condition,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E09,E09,prefix,Drug or chemical induced diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E10,E10,prefix,Type 1 diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E11,E11,prefix,Type 2 diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetes_any,"Diabetes mellitus, any specified type",ICD10CM,E13,E13,prefix,Other specified diabetes mellitus,Use for broad diabetes history; use type2_diabetes for T2D-specific restriction.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
