concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
pancreatitis,Pancreatitis,ICD10CM,K85,K85,prefix,Acute pancreatitis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
pancreatitis,Pancreatitis,ICD10CM,K860,K860,exact,Alcohol-induced chronic pancreatitis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
pancreatitis,Pancreatitis,ICD10CM,K861,K861,exact,Other chronic pancreatitis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
