concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
hypertension,Hypertension,ICD10CM,H3503,H3503,prefix,Hypertensive retinopathy,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I10,I10,exact,Essential hypertension,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I11,I11,prefix,Hypertensive heart disease,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I12,I12,prefix,Hypertensive chronic kidney disease,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I13,I13,prefix,Hypertensive heart and chronic kidney disease,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I15,I15,prefix,Secondary hypertension,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,I674,I674,exact,Hypertensive encephalopathy,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
hypertension,Hypertension,ICD10CM,N262,N262,exact,Page kidney,CCW-style rule commonly uses 1 inpatient/SNF/HHA or 2 outpatient/carrier claims.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
