concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
substance_use,Substance use disorders,ICD10CM,F10,F10,prefix,Alcohol related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F11,F11,prefix,Opioid related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F12,F12,prefix,Cannabis related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F13,F13,prefix,"Sedative, hypnotic, or anxiolytic related disorders",Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F14,F14,prefix,Cocaine related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F15,F15,prefix,Other stimulant related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F16,F16,prefix,Hallucinogen related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F18,F18,prefix,Inhalant related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
substance_use,Substance use disorders,ICD10CM,F19,F19,prefix,Other psychoactive substance related disorders,Baseline comorbidity or sensitivity exclusion.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
