concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
obesity,"Overweight, obesity, and adult BMI codes",ICD10CM,E66,E66,prefix,Overweight and obesity,Usually any diagnosis claim in baseline; BMI Z codes are supplemental.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
obesity,"Overweight, obesity, and adult BMI codes",ICD10CM,Z683,Z683,prefix,Adult BMI 30.0-39.9 range,Usually any diagnosis claim in baseline; BMI Z codes are supplemental.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
obesity,"Overweight, obesity, and adult BMI codes",ICD10CM,Z684,Z684,prefix,Adult BMI 40.0 and over range,Usually any diagnosis claim in baseline; BMI Z codes are supplemental.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
