concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,I12,I12,prefix,Hypertensive chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,I13,I13,prefix,Hypertensive heart and chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,N18,N18,prefix,Chronic kidney disease,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,N19,N19,prefix,Unspecified kidney failure,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,Z940,Z940,exact,Kidney transplant status,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
chronic_kidney_disease,Chronic kidney disease and kidney-failure related history,ICD10CM,Z992,Z992,exact,Dependence on renal dialysis,Baseline comorbidity; consider stage-specific flags from N18 subcodes.,CMS Chronic Conditions Data Warehouse algorithms,https://www2.ccwdata.org/web/guest/condition-categories,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
