concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
dka,Diabetic ketoacidosis,ICD10CM,E081,E081,prefix,Diabetes due to underlying condition with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E091,E091,prefix,Drug or chemical induced diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E101,E101,prefix,Type 1 diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E111,E111,prefix,Type 2 diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
dka,Diabetic ketoacidosis,ICD10CM,E131,E131,prefix,Other specified diabetes with ketoacidosis,Monthly outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
