concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
gallbladder_disease,Gallbladder and biliary disease,ICD10CM,K80,K80,prefix,Cholelithiasis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
gallbladder_disease,Gallbladder and biliary disease,ICD10CM,K81,K81,prefix,Cholecystitis,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
gallbladder_disease,Gallbladder and biliary disease,ICD10CM,K82,K82,prefix,Other diseases of gallbladder,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
gallbladder_disease,Gallbladder and biliary disease,ICD10CM,K83,K83,prefix,Other diseases of biliary tract,Monthly safety outcome proxy.,CDC/NCHS ICD-10-CM diagnosis coding system,https://www.cdc.gov/nchs/icd/icd-10-cm/index.html,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
